sensor,segment,timestamp,actual,pred,p10,p90
6716,forecast,2026-02-28 00:00:00,178.75,172.0,147.0,195.0
6716,forecast,2026-02-28 01:00:00,132.75,122.0,103.5,141.0
6716,forecast,2026-02-28 02:00:00,86.25,68.5,50.25,83.0
6716,forecast,2026-02-28 03:00:00,34.25,43.5,29.625,57.0
6716,forecast,2026-02-28 04:00:00,28.75,48.5,36.5,65.5
6716,forecast,2026-02-28 05:00:00,41.5,52.0,36.5,63.75
6716,forecast,2026-02-28 06:00:00,60.75,57.0,40.0,73.5
6716,forecast,2026-02-28 07:00:00,118.0,85.0,62.0,103.5
6716,forecast,2026-02-28 08:00:00,187.75,168.0,141.0,194.0
6716,forecast,2026-02-28 09:00:00,299.5,272.0,240.0,308.0
6716,forecast,2026-02-28 10:00:00,496.0,406.0,368.0,450.0
6716,forecast,2026-02-28 11:00:00,536.25,476.0,434.0,524.0
6716,forecast,2026-02-28 12:00:00,628.0,556.0,506.0,612.0
6716,forecast,2026-02-28 13:00:00,709.25,588.0,536.0,644.0
6716,forecast,2026-02-28 14:00:00,607.0,572.0,524.0,624.0
6716,forecast,2026-02-28 15:00:00,339.5,328.0,296.0,366.0
6716,forecast,2026-02-28 16:00:00,360.25,324.0,294.0,362.0
6716,forecast,2026-02-28 17:00:00,394.5,420.0,388.0,456.0
6716,forecast,2026-02-28 18:00:00,401.0,442.0,406.0,480.0
6716,forecast,2026-02-28 19:00:00,487.25,420.0,388.0,458.0
6716,forecast,2026-02-28 20:00:00,394.25,402.0,370.0,434.0
6716,forecast,2026-02-28 21:00:00,356.25,340.0,310.0,370.0
6716,forecast,2026-02-28 22:00:00,224.0,238.0,216.0,266.0
6716,forecast,2026-02-28 23:00:00,211.25,206.0,183.0,231.0
6879,history,2026-02-22 00:00:00,597.0,,,
6879,history,2026-02-22 01:00:00,447.0,,,
6879,history,2026-02-22 02:00:00,363.0,,,
6879,history,2026-02-22 03:00:00,138.0,,,
6879,history,2026-02-22 04:00:00,105.0,,,
6879,history,2026-02-22 05:00:00,141.0,,,
6879,history,2026-02-22 06:00:00,180.0,,,
6879,history,2026-02-22 07:00:00,384.0,,,
6879,history,2026-02-22 08:00:00,423.0,,,
6879,history,2026-02-22 09:00:00,546.0,,,
6879,history,2026-02-22 10:00:00,732.0,,,
6879,history,2026-02-22 11:00:00,1209.0,,,
6879,history,2026-02-22 12:00:00,1275.0,,,
6879,history,2026-02-22 13:00:00,1683.0,,,
6879,history,2026-02-22 14:00:00,1722.0,,,
6879,history,2026-02-22 15:00:00,1140.0,,,
6879,history,2026-02-22 16:00:00,1239.0,,,
6879,history,2026-02-22 17:00:00,1530.0,,,
6879,history,2026-02-22 18:00:00,1698.0,,,
6879,history,2026-02-22 19:00:00,1986.0,,,
6879,history,2026-02-22 20:00:00,2004.0,,,
6879,history,2026-02-22 21:00:00,1146.0,,,
6879,history,2026-02-22 22:00:00,921.0,,,
6879,history,2026-02-22 23:00:00,399.0,,,
6879,history,2026-02-23 00:00:00,318.0,,,
6879,history,2026-02-23 01:00:00,135.0,,,
6879,history,2026-02-23 02:00:00,87.0,,,
6879,history,2026-02-23 03:00:00,63.0,,,
6879,history,2026-02-23 04:00:00,111.0,,,
6879,history,2026-02-23 05:00:00,78.0,,,
6879,history,2026-02-23 06:00:00,168.0,,,
6879,history,2026-02-23 07:00:00,558.0,,,
6879,history,2026-02-23 08:00:00,1860.0,,,
6879,history,2026-02-23 09:00:00,2586.0,,,
6879,history,2026-02-23 10:00:00,1407.0,,,
6879,history,2026-02-23 11:00:00,1275.0,,,
6879,history,2026-02-23 12:00:00,1440.0,,,
6879,history,2026-02-23 13:00:00,1521.0,,,
6879,history,2026-02-23 14:00:00,2076.0,,,
6879,history,2026-02-23 15:00:00,2136.0,,,
6879,history,2026-02-23 16:00:00,1791.0,,,
6879,history,2026-02-23 17:00:00,2025.0,,,
6879,history,2026-02-23 18:00:00,2247.0,,,
6879,history,2026-02-23 19:00:00,1440.0,,,
